who,color,heading,xcor,ycor,shape,label,label-color,breed,hidden?,size,pen-size,pen-mode,strategies,best-strategy,attend?,prediction
40,9.9,154,16,-24,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.4149561537822506 0.2770493349118577 -0.2578650939918299 -0.49935049104028395 0.44808024141113667 0.6162693653917304] [0.6018648818017376 0.40493075643982146 0.9282879665693624 -0.7823410694957071 -0.9933905040999624 -0.457865146454167] [0.6585187585418701 0.1838792866875416 -0.2840475309792476 0.5305371079691523 0.04417635660876407 -0.5658313430338251] [0.44498704242015785 -0.8323203339619247 0.8143917734119717 -0.23130687618364343 0.7608811649544394 -0.5316386430663322] [0.363846141895656 0.930781723680788 0.15263780372269653 0.5883030289758158 -0.5514181201472117 -0.5320183218963401] [-0.651095614375206 -0.9678443847052789 0.4452090940228064 0.6806843112227612 0.7903359204322931 0.038318243399049434] [-0.2724290140259049 -0.6546780470168896 -0.6058600785851558 0.975966837372535 -0.06579426963176238 0.7082184287726971] [0.1892687214830513 0.41968743693210286 0.333621212304712 0.40005739458888456 -0.6443007591712488 0.7568276218097627] [-0.46103340022330386 -0.7672708350993929 0.5405542651606032 0.54550806823745 0.913233735926497 -0.08912662871817112] [0.17938443028458417 -0.17974285684204827 0.15278340632330312 -0.3975392163366904 -0.12704811050607123 0.1837832519196203]],[0.1892687214830513 0.41968743693210286 0.333621212304712 0.40005739458888456 -0.6443007591712488 0.7568276218097627],0,7.614412979103932
41,9.9,211,21,-17,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.42263061553430603 -0.15132214770953278 0.06336255152508974 0.612075408714537 0.0752521203721892 0.0075268605879024175] [-0.7841043432975405 -0.41870807292885415 -0.046180912797879614 0.34898325838233535 -0.7232330924701973 0.02148710358392658] [0.24539830982898514 0.44524193339985385 0.3855564739187043 0.7613070332213459 -0.37257774450880143 0.9229773432631263] [-0.7380774962305929 0.25686254591365065 0.1676400092569974 0.5141178450330122 0.9539746588567986 0.5143335674169538] [0.5961462935636006 0.880901806013725 0.1259635946369333 -0.06194115722089699 -0.027123714184273506 -0.5247371773063558] [0.7384440480001422 0.16482586772123575 -0.9326241370791939 -0.3601536979656712 -0.05555620640592274 0.40419375040761696] [-0.3029672954683471 0.9154297825436495 0.47167498841263655 0.21318587445112858 -0.600036170072048 -0.7371786665334634] [0.8497736097657811 0.15482888660619776 -0.2700334188315552 0.376331563729158 0.37288252855308324 -0.9613447667863195] [-0.6749955251046336 -0.5963043425144785 0.1305013401267343 -0.4060131682188344 0.8017913788557882 0.9919568883069694] [-0.1705628542433244 -0.3784813202894475 0.430047768607827 0.9119915122463187 0.5023702153799061 0.3709011217811058]],[-0.7380774962305929 0.25686254591365065 0.1676400092569974 0.5141178450330122 0.9539746588567986 0.5143335674169538],0,68.37127961966519
42,9.9,296,-23,-9,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.12992928943747173 -0.5176456590534779 -0.1703477229725756 0.8305368694961281 -0.4765851207282348 0.04659906645403966] [-0.5813324405983034 -0.7259530290533487 0.5692285268825565 -0.7251357457598389 -0.2952954348256356 -0.016970668527015675] [0.707739263389374 0.41526094846540573 -0.7069909714551035 0.38815885220430335 -0.9794251375723508 0.015449777492615002] [-0.05134240766297227 -0.33202341800895896 0.8406118801086859 -0.3397209887187833 0.01924318405793901 0.6057914800490063] [0.11327609335962197 -0.12057749447826693 0.524483609086519 -0.7695124843066492 -0.15412106382031387 -0.5001457909204485] [-0.4457633780249777 0.7226729917320578 -0.5230565480134193 -0.566849651810539 0.1257459283737914 -0.7874046236884567] [-0.9598327852760045 -0.45385002193213797 -0.9535941589608363 0.3718643969351081 0.11011869357310244 0.7813096371067223] [-0.7177317936591643 0.10715097705743615 0.9452829050253027 0.6992310691452945 0.9696629098095435 0.9418284521722866] [-0.7281233374330875 0.2699995933550654 -0.4781281370231336 -0.33350629669931564 0.4610655684973515 0.4425886308681226] [0.2281370750926981 -0.2790780700973343 0.5289877884392187 -0.2226858728346479 0.572376009703975 0.6556203421892381]],[-0.05134240766297227 -0.33202341800895896 0.8406118801086859 -0.3397209887187833 0.01924318405793901 0.6057914800490063],0,111.53645163889385
43,9.9,97,-14,15,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.5248352150570443 -0.6668492804327881 0.4929466318795128 -0.5940163482536922 0.5216048304202825 0.2620511870008779] [-0.3053676009637163 0.16601653553920093 0.44186993876648417 0.3716180810333305 0.8498886859549184 -0.020540732160093222] [-0.2700688124958024 0.9029806191616236 -0.6678213145118845 -0.37444320656473384 0.3431826786960268 -0.5155364541560683] [0.18454805084691706 -0.13165310013570442 -0.8482188191866968 -0.010222714601531901 0.9862572783297323 0.8312759700837165] [-0.7731556933854289 0.14582595520539288 -0.2824919371542023 -0.7802053230414634 0.9589915011162813 -0.8548603213912249] [0.030447424714767912 -0.9322072428153854 -0.5137412993229897 0.15578871837141972 0.3057034818945954 -0.0455087362262514] [0.8845644979891278 0.4296666869804826 -0.003913156043678256 -0.8046240655217549 -0.023594929373282003 -0.9959418151049673] [-0.7134769280771804 0.9155612258895123 0.38939728659369344 -0.03706857802635932 0.8721107749107275 0.9331814253755641] [-0.43314803899807264 0.10122943902945036 -0.6191162602864506 0.5257418186708309 -0.7941450667277541 0.512517121804992] [-0.8238010338599011 0.03852153244631995 0.5103738339599633 -0.0446188308370461 -0.5161384779885392 -0.10853797942434795]],[-0.7134769280771804 0.9155612258895123 0.38939728659369344 -0.03706857802635932 0.8721107749107275 0.9331814253755641],0,-134.25102440213678
44,9.9,69,-15,3,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.8485839669405724 -0.9073716488592709 -0.8647545208749319 0.732239125605572 0.8454451293472136 -0.3373951758644598] [-0.48385887560686625 0.09812809365855801 -0.1839353935896164 0.6948291137407643 -0.8123743431169412 0.30586166437891293] [-0.4140672408440589 -0.8881536634134 0.3989500609988661 0.8773223582913428 -0.6461867825660401 -0.04403942080277945] [-0.11838865838476376 0.685025010488878 -0.004264806483526007 -0.7848832916725585 -0.4561574752637292 0.05262574686813282] [-0.8795536384144602 -0.5906077735423387 -0.6442223091220882 0.9380174391215554 -0.8979233922084084 -0.5702804149422602] [0.9858392681621528 -0.2799416335663971 0.6431950384431946 0.44037351429385274 -0.5445970447218815 0.6833001284224263] [-0.49223725827709885 0.04140512000992702 0.35943904206635025 0.06289660775455874 -0.5147815812304388 0.9672020203858336] [0.6420660579561208 -0.1704371962254656 -0.9570940426550665 0.7522018888270845 0.6320676115813708 0.5885046264161631] [-0.08527802224809777 0.970637166835594 -0.20094509501976932 0.5100062227796549 -0.5757057631718534 0.30667853019898406] [0.9136387691651879 0.7244774948524353 -0.2346822432884237 -0.9460609288133985 0.011821696808409277 0.8325091526638442]],[0.6420660579561208 -0.1704371962254656 -0.9570940426550665 0.7522018888270845 0.6320676115813708 0.5885046264161631],0,150.69638069551803
45,9.9,286,-21,14,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.9770295978555417 -0.07782579082546492 0.25185802392342693 -0.08255291764642791 0.8019412689583791 -0.6346643702604828] [0.05057005015422211 0.9238070786799457 0.04577754973407977 0.5940990522032854 -0.7398455578685714 -0.4074630552791212] [-0.08289780941172764 -0.16982073855081148 -0.6659583065892287 0.8321924609734996 -0.16295855837856021 -0.11954198546950634] [0.5674826891564264 0.570334463398394 -0.3306101640326271 -0.8792565711697125 0.23839529820874783 0.6088811810136501] [0.6549714494724015 0.9362527233812308 -0.366399499995002 -0.7972675322998126 -0.4274015287504762 0.24332671847649734] [0.4844826649312952 -0.7390390244109981 -0.7392112696355586 -0.6661152547913571 0.8294277492130322 -0.5947646010597387] [-0.660221398753317 0.10058939385716226 0.010164408509841572 0.8328542490430937 0.1223495618116972 0.21480891834787874] [-0.11874400638640803 0.2990616257205223 -0.43222770685729284 0.29888894968778934 0.8419487852440477 0.025524978546400234] [0.3169488502507296 0.4076290749996083 -0.5508575590341809 -0.9575802025656852 -0.45995361910397703 -0.2549041403480481] [0.724889419952407 0.3619383617473655 -0.6597790109298343 -0.26507058706516395 0.5921353209895295 0.2884822500325057]],[0.724889419952407 0.3619383617473655 -0.6597790109298343 -0.26507058706516395 0.5921353209895295 0.2884822500325057],0,146.63098142335633
46,9.9,305,-23,13,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.14779638821366836 0.5238566879202 -0.05109147210880849 -0.6396131094480306 -0.33628041350030524 -0.4167582240759711] [0.4630755954884571 -0.8427486733749996 0.2949923152878595 0.14644828906955554 0.8139396757244601 0.11367637414581933] [-0.5494234863468073 0.7596832136698988 -0.6755928161470297 -0.9986955954538579 -0.2135059930989327 -0.44145494805885366] [0.9199535474425642 -0.6304568473662968 -0.7988168974612533 -0.40075979193573885 0.3733630981080607 0.8520112261845696] [-0.7588892167953631 0.4428056502905162 0.36664744528549065 0.49990100682562644 0.3907527062995817 0.7434303898646273] [-0.6044056080217979 -0.05948485709125495 -0.8202057270947081 0.8657713270381686 -0.8529098362269689 -0.7358176659591977] [0.0880559651423023 -0.3032947425168597 0.5995436447767519 -0.18322593500388473 -0.805293432790698 -0.47191871110749073] [0.15618127048351793 0.2627808052597558 0.5704768164321656 -0.5663719274284174 -0.1602644636903019 -0.6718974561865785] [0.4502398050819112 0.0722044705597451 -0.19811427014444538 0.2851689052997335 0.09836949429305886 -0.44586679877483437] [-0.6305633923147198 0.6139493931769324 0.49227906630520546 0.5276582221965187 -0.4114738884980216 0.5930991809673343]],[-0.7588892167953631 0.4428056502905162 0.36664744528549065 0.49990100682562644 0.3907527062995817 0.7434303898646273],0,-24.391315806243867
47,9.9,2,-9,24,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.959244707411498 -0.6046946082387052 -0.9164090808080159 0.1871520004518452 -0.553776568888581 -0.6783275425345983] [-0.125778693148362 0.29368748645869336 0.8595171576375229 -0.6157377970342275 0.4424127135868057 0.038287944945685215] [-0.6432897590870381 -0.37833751863894816 -0.12565328721059288 0.4999292764080281 -0.38416317191207794 -0.4396845418385049] [0.31473889085656337 -0.34167186310879605 0.541190273921943 -0.032484083371959516 0.1006665080219753 -0.5531887860257312] [0.45130883096355645 0.8624453910338734 0.5672461315394237 -0.41150143950316154 0.6468418206586779 0.5792954931741265] [-0.8621887688092476 0.5612584190807195 -0.2994429470166522 0.3485557392430827 0.5587862846353364 -0.974140874912482] [0.7343098405604866 -0.04785144451751577 -0.3136221134445196 0.1478896982728457 -0.8008968116060211 -0.034617070162675345] [-0.439273523471839 0.4529703667373668 -0.9369821968545167 0.13596301143673717 0.5074499278188602 0.4315750821079567] [-0.76641856476235 0.5249365432966064 -0.05639521947901471 0.4184220234723961 0.38923132575780617 -0.12083770530511884] [-0.45592684632913727 -0.9441505615045569 -0.6257237641908735 0.6390087572028444 0.09783329580022615 0.10596901524832036]],[-0.125778693148362 0.29368748645869336 0.8595171576375229 -0.6157377970342275 0.4424127135868057 0.038287944945685215],0,-37.59425785159646
48,9.9,191,20,-2,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.4316346475119026 -0.877839342532355 0.7765971173067416 -0.6548425352155149 -0.12498233920966562 0.9650941035774687] [0.14740223291759036 0.7989872057544525 -0.1434802302515359 -0.460644300828575 0.25814628181502774 0.6390074332981222] [0.07925572079603738 -0.8354664182571734 0.7485637181220928 -0.9614845708112667 0.07059276943829618 -0.3029210842889827] [0.7135742384904764 0.5807863780054845 -0.8238050510154749 -0.44667961467518413 0.3014950098207205 -0.9929327076222758] [-0.03122399757713512 -0.4312621259929845 0.08778297671228996 -0.7693167223702724 -0.3392114688668222 -0.7833680140134709] [0.7857429799161444 0.23296962736281834 0.5984764883239835 -0.9386227457170437 0.31101168773396637 0.05823271158613452] [0.5578686129225943 -0.9454759168312983 0.3775389895231829 0.060236347515712385 0.9826059861038114 0.7424452653186999] [0.6523588231736419 0.839339860600659 0.008568101736424083 -0.4897955194440855 -0.8143677092529067 0.6271641212190315] [-0.48887677300982757 -0.7426990665749893 0.10959363810203815 0.6023124050821791 -0.8224779502191519 -0.410233208723491] [0.5480939855898037 -0.4736195695355201 0.2248015876857885 -0.7486384843859268 -0.08883904509282181 0.33760543220564077]],[0.4316346475119026 -0.877839342532355 0.7765971173067416 -0.6548425352155149 -0.12498233920966562 0.9650941035774687],0,44.28026884208888
49,9.9,36,-13,17,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.3685343120235691 -0.9041840605383908 0.03774046390532804 0.6654059607368692 -0.23549430074025834 0.1349781340086802] [-0.11471850455146604 0.43731032140671533 0.8846122220304695 0.6961551950258895 0.5331716991009836 0.5062489106839361] [-0.9458160710686945 -0.8498237149564984 0.854092362800573 0.9956578870915782 0.8340865880141586 0.487104131269674] [-0.018506308384644843 0.5013733678668959 0.3113558148955 -0.5893649312113693 -0.08937878604444283 0.9189611221129248] [0.09866674702587108 0.8356857085421001 -0.05397149825385661 -0.5547697950285699 -0.0956620126444776 -0.050845867533626965] [-0.7032037521775543 0.5256159358519463 -0.3295284342250733 0.9314231573010086 0.053961907852267066 -0.784974917246615] [0.9701831255182094 -0.5248191730649763 -0.8298007347904457 0.7203947548388163 -0.6021106923510506 0.10839739149339422] [0.6008589846137391 -0.5492760089666755 -0.7820096886069965 0.17797169562921833 -0.6279866809898673 0.25650558875362806] [0.5420249067872966 -0.7575511663720063 -0.4505999151374993 -0.021924823055929465 -0.43340204373713975 -0.08685405828586834] [0.6185656489986797 -0.1814287878055434 -9.33143713500062E-4 -0.5645215850278886 -0.9591597084229604 -0.7025355601156016]],[-0.018506308384644843 0.5013733678668959 0.3113558148955 -0.5893649312113693 -0.08937878604444283 0.9189611221129248],0,-92.63108338883731
50,9.9,353,22,-1,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.31500117278784256 0.3670275279968549 0.34057143903608855 0.3610420773902412 0.22974797454263363 -0.2690215304455683] [-0.40852607871667734 -0.36719250519778424 -0.2957935257556541 0.22046364741290736 0.17286398192409824 0.27062181417615006] [0.6605574629208872 0.966592578607538 0.90132380245479 -0.3846745738608286 0.9910909267532013 -0.3878442466131964] [-0.3538319985729115 0.8317151218323098 0.5745326864766631 0.5679426233827483 -0.13790424603161688 -0.9618885373531516] [-0.42359929865990664 0.5410137162481647 -0.19353970510091867 -0.8154359137223839 -0.0835101838775949 0.7585991341711378] [-0.9811974020195171 0.1869100102200416 -0.701778489982571 0.8602416642091912 -0.7397758680237678 0.36511623718807873] [0.6101602263516872 0.6464417505747024 -0.18890920597311034 0.011887975930359174 0.8400314669401687 0.2843966579843522] [0.5980359939448339 -0.9164278826166197 -0.15887439241696177 -0.08188992109368032 0.004377662447477615 0.379282980920721] [-0.9084149092641178 -0.7949907416432374 -0.7078746109795497 0.4206486192606014 -0.712952489102213 -0.4760735523106643] [0.31069771109238187 -0.6528762504233552 -0.27656558251582597 -0.17048285212427916 0.5377786424811872 0.8007083542354576]],[0.31500117278784256 0.3670275279968549 0.34057143903608855 0.3610420773902412 0.22974797454263363 -0.2690215304455683],0,118.65952801257565
51,9.9,246,-3,11,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.3582632084849424 -0.0711615206381897 -0.38337095248541764 0.15865573910201558 -0.37988442881505247 -0.3771876739733828] [0.21944833926985363 0.8967727793232076 0.648077051490209 -0.4188307730944085 -0.9967031471634733 0.9535056867463534] [0.04187683415392063 -0.9206249794264691 0.25062884051050993 -0.26036170528149305 -0.7218847241381998 0.5236313282783494] [0.9054914681544306 0.6744537869472731 -0.07947335938979982 -0.2015190515737848 -0.19380027785487597 -0.7075840954480839] [0.7736020730143849 -0.5328900854944101 0.3555807823036905 0.9591654254371758 -0.6391055565487842 0.4508663701392577] [0.5143853165883159 0.9483299739851396 0.71308313938621 0.8761508171346595 -0.04830522381988778 0.8646096765420852] [0.9184137538396475 -0.6081978678810476 -0.44219830120401404 -0.07866160938822375 -0.11544055891084204 0.942582344589906] [0.0445756470353138 -0.11762602972470182 -0.9163854679994676 -0.16139955405471462 0.5235169289896642 -0.7063638419470761] [0.4539599422857272 -0.9241782019958542 0.7176451938146622 -0.31893566080027025 0.8528080152552355 0.2203779237319996] [-0.8268135620928212 0.0022713202522355314 0.3341523729329643 -0.7720499448768465 -0.7733708724977806 0.8796351986020476]],[0.9184137538396475 -0.6081978678810476 -0.44219830120401404 -0.07866160938822375 -0.11544055891084204 0.942582344589906],0,-99.26572319685832
52,9.9,307,19,-15,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.5209086900502555 -0.48356480153530845 0.8440240187180634 0.9384770668811535 0.08281794235851914 0.14337869734477593] [0.6246882543653438 0.5295842657708028 0.5754716460715952 0.5101625506850291 0.6699210888326459 0.2849641085748875] [-0.8189767988271777 0.5643575995103063 0.8634090173052968 -0.35560476182600764 -0.3827618798642234 -0.11541139572049697] [0.7964099341256214 -0.2619007763327099 0.5407335433977201 -0.37380425730468714 -0.5094102637269915 0.5868465711435149] [0.4539321684242914 0.3361384929656681 -0.6645091981342901 -0.6422279846250656 -0.16886140730149046 0.5455206688085146] [-0.3136421938241132 0.5862576231994296 0.022661511145878777 0.9456126395607758 0.5787441418968939 -0.8541344416161558] [0.139278610809624 -0.752173214965314 0.728649471017051 -0.7978148024022322 -0.008005891508407359 0.5426748013940117] [0.5548818965108562 -0.4388978100978853 0.5522048428230049 -0.9536113136017981 0.6096513155602861 -0.8797940909387842] [-0.4634654302461414 0.037316587765758635 0.796236496296046 -0.9655856684135373 0.4399410055101609 -0.9218479660321879] [0.7457066721020713 -0.45386559983437524 0.11769481624839284 -0.9368711710287894 0.9235168135777607 -0.7804027524839223]],[0.7964099341256214 -0.2619007763327099 0.5407335433977201 -0.37380425730468714 -0.5094102637269915 0.5868465711435149],0,60.759808368413374
53,9.9,145,21,-5,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.22876698571809206 0.12296688321872762 -0.02842121624676741 0.3631237692211855 -0.507417117758121 0.5216933052971409] [-0.7901607706642217 -0.6805394836111289 0.5120411405050878 -0.5272328047116759 0.989268227292528 -0.5852581163639041] [-0.4911905280341 0.02722648969738728 0.07955823776887039 0.22642169029748027 0.9787132837909167 -0.8453190785991842] [0.9727929364456311 -0.6249696382023804 0.8179338887054388 0.48940955994991153 0.45140792179737876 0.8188162263648242] [0.7072486960133235 0.4228967313385046 -0.21050098964079633 0.5660508775903528 0.5630999732996087 0.9870538966783353] [0.09779605078157916 -0.99527598829555 0.6019835657473191 0.04078305721204134 0.6048703713721002 -0.2397578401455096] [0.4968127996828544 -0.746535568713695 -0.8246984759125797 -0.09547459308739592 -0.7277909728374481 0.5927206628118169] [0.016522928707769502 -0.28406718333491776 0.6096711875511849 -0.8641273742458799 0.0730630892001245 0.8378996432563217] [-0.8591670081647027 -0.723864866103689 0.03813755664105134 0.9962153339697988 0.6433008048345052 0.9870102259778744] [-0.3248149133452587 -0.6969769541250925 -0.6700349883164092 0.5385777803584488 0.3671210196653929 0.6085709203356948]],[0.016522928707769502 -0.28406718333491776 0.6096711875511849 -0.8641273742458799 0.0730630892001245 0.8378996432563217],0,40.80922707551416
54,9.9,289,0,-6,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.08128805293444485 -0.991079558592749 0.12105817970063648 -0.9654546309108896 -0.7912363806850877 -0.9288070874129626] [-0.07598135131958439 0.9935462635652368 -0.8392965704545698 -0.9616573236626775 -0.32659940193102655 -0.9510619660306465] [-0.9496059333427858 -0.7393147132087396 -0.3659693195077931 0.21046040159132318 0.9561230358003789 0.25181221154505784] [-0.4227352003335443 0.9502110469525844 0.24874480893418038 0.5208355972219016 0.5680243054032696 -0.7459681643008433] [0.9938962435237246 -0.617499626097789 0.06810094664408939 0.20216016953426963 -0.9885125576458738 0.05990267702534213] [0.391074546387675 -0.28685407293404386 -0.641985647402763 0.9592706418619839 0.12920018059259353 0.7400890569384022] [0.3059198132266221 0.6311026493667569 0.21712789054617732 -0.17674974656856235 0.5837447870769112 -0.4728396620585231] [0.24934747690944148 -0.7303658931880175 -0.33503687299794227 0.3680590249739004 -0.19033114918259741 0.9752501080436611] [-0.5358880578578948 0.25861383204964894 0.03882483275687165 0.16777054605988573 -0.45689670418393513 0.6216723253902527] [-0.847138281188136 0.0638901057733614 0.32200364186284447 -0.5594490308285558 0.7462457423201361 -0.9820576973417425]],[0.3059198132266221 0.6311026493667569 0.21712789054617732 -0.17674974656856235 0.5837447870769112 -0.4728396620585231],0,-107.40454389219505
55,9.9,287,-21,20,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.7049937739807888 -0.28468274453927567 0.7631620303864617 0.8109482121264884 0.9118640074221782 -0.013139560884229962] [-0.6246339260079008 0.3704431068331664 0.026335139619402037 -0.47820874995481444 -0.36797812044265066 -0.26916533395133] [0.09639973869897767 0.19576981480794253 -0.1829730655786761 0.15413596210354696 0.6825419530509413 0.23833563066196595] [0.006953303548931755 0.44406682864818303 -0.5100225389705686 0.04669620193094959 -0.636798020132533 0.863597006038826] [-0.6082193355082441 0.013393309301883427 0.6417533735284351 -0.7432025318097131 -0.7645500033237835 -0.5888624224300165] [-0.4476314738164817 -0.7526101266150693 0.6106854719417762 -0.4822765513252494 0.2901718994158462 -0.4425091882325687] [-0.4082355692824773 0.7864185186999588 0.42784114170978516 0.41066032716510437 0.8331972631124214 -0.06236999815406641] [0.9105182518260286 0.012777110551255078 0.30680846848204824 0.41391306558758933 0.19767600871780755 -0.9698728913048509] [-0.46105950103217674 -0.31661111026808997 -0.9596504046934384 0.6261228247656287 -0.32472259293189354 0.47923997492722137] [-0.07502580619700927 -0.8690040735284563 -0.22441865428981322 -0.21422637793070543 0.39089363195166515 0.9001958309614686]],[0.09639973869897767 0.19576981480794253 -0.1829730655786761 0.15413596210354696 0.6825419530509413 0.23833563066196595],0,68.98298256857586
56,9.9,182,-4,-10,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.35116161324327355 -0.21811040125321046 -0.4961173473529161 0.9866899116924988 0.898126696353732 0.38633529991060844] [0.10055248606462919 -0.9185726096117024 -0.27535545021252483 -0.17883371509796375 -0.8417396450573706 0.6796120852511098] [0.9436412577764803 0.9090059672598017 -0.7977195987934969 0.8790690005031805 0.7836587241477799 0.22777047439689668] [0.9525189758119916 0.5148409274035743 -0.7460250600546532 0.3152462873389683 -0.18218910583898196 0.5139521278390509] [0.7768214916758236 -0.5446691786799234 0.7736363021695709 0.22109964758716982 0.8029127989352522 0.44591658835556025] [0.6337719624654767 -0.9820851781494591 -0.8225945942659154 -0.29570200914036615 0.40250670368451 0.05319132763321899] [-0.9810944281138037 0.12917103924666073 -0.21706553488892322 -0.6168744458025772 -0.665799840422544 -0.8372269050430785] [0.248300211265845 -0.4744656236696585 -0.5755767325403185 0.3648979140584314 0.09285408296436426 0.8183040190568907] [-0.9262897733283597 0.6575134745543205 0.04949040897904755 -0.1916425773343613 -0.7299612616633264 -0.3903861716227144] [-0.9014250948630422 -0.2167590531391692 0.6085137921858741 0.19968420377903362 0.45541008568301833 -0.10119776222442023]],[0.9525189758119916 0.5148409274035743 -0.7460250600546532 0.3152462873389683 -0.18218910583898196 0.5139521278390509],0,-57.96223860911651
57,9.9,297,25,-9,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.572387227679334 -0.9923305837553551 -0.7134954276583512 0.5870346740866603 -0.10997758371497968 -0.3722249624462908] [-0.7184543220041253 -0.22179698005874182 -0.4047281650289507 -0.07654192548891903 0.6838210237312587 0.44065140100302536] [-0.14378709901666054 -0.30493536437832147 -0.4368240776693417 0.8421905657516637 0.7840412805546886 -0.7194541951681201] [-0.28199158500228205 -0.9744230543470043 0.42246243316712473 -0.20277298670527344 0.7840429926606043 0.15701376946907653] [0.506995461156196 -0.8469583070785833 0.4461908026497745 -0.6251206933047786 0.010873446411260757 0.6193544412625895] [-0.7748779447244918 0.6098826030005253 0.19139225879708022 0.0742195626737645 -0.15293710449864517 -0.6482426663913254] [-0.5979395023850402 -0.7765316309033405 0.2549472964507198 0.6864551879175864 -0.48896760374345827 0.5726421358556368] [-0.176302057166142 0.4446360814565258 -0.7010411581916804 0.6401046923028253 -0.056134985495567946 0.1476688178825034] [-0.9361880915240515 -0.1623569617384908 -0.43232231369757024 0.0764451891313569 -0.7605996225916856 -0.09932877202235013] [-0.9945889642533758 0.135160831242638 -0.03023679468604068 -0.7384724336392894 -0.43926454841505036 -0.6097665577986018]],[0.506995461156196 -0.8469583070785833 0.4461908026497745 -0.6251206933047786 0.010873446411260757 0.6193544412625895],0,-198.72762458641597
58,9.9,356,-24,-5,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.9777333948596629 0.10834084454257309 -0.11205348744449806 -0.07969358386305303 -0.5899563107000625 -0.21126601058184313] [-0.47406790373537677 -0.6671196489697693 0.03381119881149286 -0.4255763979352294 -0.6249189623998372 -0.1843511859378073] [0.9981511146537605 0.06011675244700343 -0.21347308078563354 0.576080785253863 0.45955298193868477 -0.31887163676906516] [0.9318483507851052 -0.9092862131874857 -0.3918639509125108 0.37383329478383676 0.8038966671912096 0.30676295070163495] [0.8489122575324031 -0.12888680034332123 0.37654361762570043 -0.26548377970771453 0.1468559224184387 -0.5890841113516796] [0.9580592510875701 0.10046568536536493 -0.49969034444884497 -0.2458322205287935 -0.23416805189424705 0.24238597170349196] [0.28328220150125794 -0.15940585297825716 -0.2536453846341835 0.8870192444912206 -0.5889762885321894 -0.9340806336154255] [-0.676010626202683 0.691255028272864 0.6252644201290445 -0.5016987348795094 0.19508677429345034 0.1976274096912194] [-0.6199665522523368 -0.6563342583295133 0.9263811452929127 -0.6402989753462962 -0.609370343514305 0.9111586546643538] [0.9390376595043346 0.8504215578894214 -0.9457661329193825 -0.0876248651102729 -0.6375346109132585 -0.18586584106241166]],[0.9580592510875701 0.10046568536536493 -0.49969034444884497 -0.2458322205287935 -0.23416805189424705 0.24238597170349196],0,41.17970801094834
59,9.9,335,25,-22,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.5234852952655278 -0.5712631850421181 -0.7982514115810366 -0.08936008574913124 0.9577997504751836 -0.02587435946297134] [-0.19917839295181738 0.8521003971840653 -0.7112123757997246 0.7273586416377162 -0.5519669238139597 0.0173711146639437] [-0.8900024139073721 0.2269780789914282 -0.5948280630138749 -0.5416366910581512 -0.32663964720274064 -0.5000628001414686] [-0.3776387853557197 -0.8848767897471728 -0.8150306598623231 -0.7269912195469308 0.7236773726617824 0.5882128191093867] [0.11804613732293578 0.05819381087629516 0.825554335157838 -0.11147671849175977 -0.007740391221900511 0.606394230929151] [0.1714554360671281 0.8848193523847847 -0.7228313912374313 -0.6210517735281436 0.760385606456186 -0.1571359563060637] [0.8986924040336308 0.04766122811743445 -0.5244536683302188 -0.22252447146109144 0.8032519639101392 -0.2543324845134636] [-0.1279105802568583 -0.8997282086916729 0.38792710443593026 -0.6984992534983139 -0.7980389456073371 -0.8178454146073941] [-0.5255523860712072 -0.0975313321466198 0.882814029592685 0.24524095550688596 -0.5180405269641677 0.7715916009046089] [0.5368449547192455 -0.9574765034404134 -0.6641728462045979 0.900810329781029 0.8434331926918659 0.7522120961468355]],[0.11804613732293578 0.05819381087629516 0.825554335157838 -0.11147671849175977 -0.007740391221900511 0.606394230929151],0,181.45174758649694
